eps,min_samples,n_clusters,n_noise,noise_ratio,silhouette
0.2,3,345,0,0.0,0.8685870810563334
0.2,4,345,0,0.0,0.8685870810563334
0.2,5,345,0,0.0,0.8685870810563334
0.30000000000000004,3,329,0,0.0,0.8495568807123597
0.30000000000000004,4,329,0,0.0,0.8495568807123597
0.30000000000000004,5,329,0,0.0,0.8495568807123597
0.4,3,274,0,0.0,0.7297721441152426
0.4,4,274,0,0.0,0.7297721441152426
0.4,5,274,0,0.0,0.7297721441152426
0.5,3,157,0,0.0,0.30989043448808723
0.5,4,157,0,0.0,0.30989043448808723
0.5,5,157,0,0.0,0.30989043448808723
0.6000000000000001,3,69,0,0.0,-0.051429850018019946
0.6000000000000001,4,69,0,0.0,-0.051429850018019946
0.6000000000000001,5,69,0,0.0,-0.051429850018019946
0.7,3,22,0,0.0,-0.06885950050850828
0.7,4,22,0,0.0,-0.06885950050850828
0.7,5,22,0,0.0,-0.06885950050850828
0.8,3,12,0,0.0,0.06356800958074768
0.8,4,12,0,0.0,0.06356800958074768
0.8,5,12,0,0.0,0.06356800958074768
0.9000000000000001,3,5,0,0.0,0.38869750393932084
0.9000000000000001,4,5,0,0.0,0.38869750393932084
0.9000000000000001,5,5,0,0.0,0.38869750393932084
1.0,3,3,0,0.0,0.6204801656267566
1.0,4,3,0,0.0,0.6204801656267566
1.0,5,3,0,0.0,0.6204801656267566
1.1,3,3,0,0.0,0.6204801656267566
1.1,4,3,0,0.0,0.6204801656267566
1.1,5,3,0,0.0,0.6204801656267566
1.2,3,3,0,0.0,0.6204801656267566
1.2,4,3,0,0.0,0.6204801656267566
1.2,5,3,0,0.0,0.6204801656267566
