Athlete_ID,VO2_Max,Sprint30m_sec,PushUp_MaxReps,PullUp_MaxReps,CMJ_AirTime_sec,CMJ_Height_cm,Punch36_Time_sec,Punch36_Speed,Punch36_Effective,YoYo_Level,Body_Weight_kg,Resting_HR_bpm,Training_Freq_perWeek,Fatigue_Level_1to5,kmeans_label
Athlete_001,59.17626659442439,4.786759231626212,72.17416847128989,22.001098268154134,0.5834241374031902,36.095491011907455,22.067642010172992,1.64896817772398,3.9987521605346816,17.007756425552728,69.85593940728914,55.15130658176663,4.984199912492751,1.979273106758419,1
Athlete_002,57.59099788943061,4.572362069691809,79.17093346272588,17.913717053847602,0.5089708065512177,36.1557432931236,20.596632013046445,1.8075046114875124,3.9659215429009,14.974157836079256,74.62776418176162,63.021355055676615,6.002302188079832,1.9994112496860568,1
Athlete_003,59.61580407839371,5.032578352571164,74.28248420941307,23.09027523367189,0.5214108767431386,36.24017860571297,20.68297739253629,1.8049536366122567,2.9893952347854773,15.95774830115328,78.03722532693747,63.02215939383543,5.980667400785268,1.0341361716702338,1
Athlete_004,61.57780308720732,4.953125767046916,62.45417965663193,19.11951345267779,0.5145918299790604,39.36291312443453,18.545964542983583,1.6352418722350357,3.9834448817887065,15.007050833336724,61.59992427781206,55.90456936683599,5.97757198384157,1.0040892669981647,1
Athlete_005,57.25780873414854,4.948751400845177,82.31892376454908,23.04109016650102,0.6116388488778842,35.41446484738395,22.07892740404564,1.798714414838848,4.016305703907047,15.927683944147594,66.26661699459443,56.983672797294126,5.997344207790388,1.0329606771181303,1
Athlete_006,57.41458685052942,4.620625646104598,67.30335017603458,17.947461157826133,0.5216699725727992,36.158422466127085,25.74975802408105,1.6617437630224878,4.991207441609731,14.979140615170206,66.18216278390702,58.97836193522002,5.026025098095046,1.0125159612193988,1
Athlete_007,61.90113501533175,5.069963300365685,78.78638332909844,24.061083311344905,0.5445174333575991,37.69592994186437,20.3367189711001,1.6602820939567438,3.018830982142366,14.006957883369632,74.31570984463696,59.00374711573294,6.002263685859205,1.9964580416803943,1
Athlete_008,60.09789646469374,4.5142063492327935,74.4727378906547,19.096539588622942,0.527996786722835,36.99913272598573,26.30814618680771,1.7223781654665902,3.98440053591804,17.050216422151834,57.909808624139686,55.12396942185514,5.99070804036892,1.006852692508451,1
Athlete_009,56.78440483723451,4.918805078524518,72.32720536216581,23.0032221199402,0.5360113989352779,35.15853595961091,24.030988530510164,1.722573172658329,4.000495944967838,14.95128457671639,69.79690479108503,62.06890194618699,5.973006185430986,0.9978314412319864,1
Athlete_010,59.29880161816311,5.241585372605945,76.99797217408154,21.94915454867866,0.5187701965790261,37.88805191153399,21.2369866491542,1.70460739184708,4.997072556543671,16.008745186388722,67.29793618379375,62.11571212403433,4.990315775042577,1.9946155804553485,1
